file_name,window_size,stdv,alt_min,received_alg,similarity
synthetic-2tps.wav,1,0.25,50, D D' D U D' U U U D D D D D D' R R R R L L D L D' D D' L F F F F B D B D' D B D' D D' B,68
synthetic-2tps.wav,1,0.25,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,0.25,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,0.25,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,0.25,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,0.25,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,0.5,50, D D' D U D' U U U D D D D D D' R R R R L L D L D' D D' L F F F F B D B D' D B D' D D' B,68
synthetic-2tps.wav,1,0.5,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,0.5,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,0.5,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,0.5,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,0.5,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,0.75,50, D D' D U D' U U U D D D D D D' R R R R L L D L D' D D' L F F F F B D B D' D B D' D D' B,68
synthetic-2tps.wav,1,0.75,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,0.75,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,0.75,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,0.75,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,0.75,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1,50, D D' D U D' U U U D D D D D D' R R R R L L D L D' D D' L F F F F B D B D' D B D' D D' B,68
synthetic-2tps.wav,1,1,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1.25,50, D D' D U D' U U U D D D D D D' R R R R L L D L D' D D' L F F F F B D B D' D B D' D D' B,68
synthetic-2tps.wav,1,1.25,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1.25,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1.25,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1.25,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1.25,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1.5,50, D D' D U D' U U U D D D D D D' R R R R L L D L D' D D' L F F F F B D B D' D B D' D D' B,68
synthetic-2tps.wav,1,1.5,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1.5,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1.5,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1.5,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1.5,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1.75,50, D D' D U D' U U U D D D D D D' R R R R L L D L D' D D' L F F F F B D B D' D B D' D D' B,68
synthetic-2tps.wav,1,1.75,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1.75,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1.75,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1.75,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,1.75,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,2,50, D D' D U D' U U U D D D D D D' R R R R L L D L D' D D' L F F F F B D B D' D B D' D D' B,68
synthetic-2tps.wav,1,2,150, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,2,250, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,2,350, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,2,450, U U U U D D D D R R R R L L L L F F F F B B B B,99
synthetic-2tps.wav,1,2,550, U U U U D D D D R R R R L L L L F F F F B B B B,99
