window_size,stdv,alt_min,received_alg,similarity
1,0.25,50, U D D' U D D' U D D' U B' B B' B D U R D' R' D' D' D' D R R' D' R R' D R R' D R R' D R D R D' D D' R R L L D R L D' R' R U R' L U' D F R D' R' D F R U D' R' U' U F R U' R' F U R U' R' U' B D D' U' U D B U' D' U' U' U' B R U' R' U B R U' D R' D',25
1,0.25,150, D D' D U D' U U U R R' D R R' D R R' D R R' D R R R R L L D R L D' R' L F R R' F R R' F R R' F R R' U' B U D B D' B R R' B R R',50
1,0.25,250, U U U U D D R R' D R R' D R R R R L L R L R' L F F F R R' F B B B R R' B R R',75
1,0.25,350, U U U U D D D R R' D R R R R L L R L R' L F F F R R' F B B B B,85
1,0.25,450, U U U U D D D D R R R R L L L L F F F R R' F B B B B,94
1,0.25,550, U U U D U D D D R R R R L L L L F F F F B B B B,97
1,0.5,50, U D D' U D D' U D D' U B' B B' B D U R D' R' D' D' D' D R R' D' R R' D R R' D R R' D R D R D' D D' R R L L D R L D' R' R U R' L U' D F R D' R' D F R U D' R' U' U F R U' R' F U R U' R' U' B D D' U' U D B U' D' U B R U' R' U B R U' D R' D',26
1,0.5,150, D D' D U D' U U U R R' D R R' D R R' D R R' D R R R R L L D R L D' R' L F R R' F R R' F R R' F R R' U' B U D B D' B R R' B R R',50
1,0.5,250, U U U U D D R R' D R R' D R R R R L L R L R' L F F F R R' F B B B R R' B R R',75
1,0.5,350, U U U U D D D R R' D R R R R L L R L R' L F F F R R' F B B B B,85
1,0.5,450, U U U U D D D D R R R R L L L L F F F R R' F B B B B,94
1,0.5,550, U U U D U D D D R R R R L L L L F F F F B B B B,97
1,0.75,50, U D D' U D D' U D D' U B' B D U R R' D' D' D' D' D R R' D' R R' D R R' D R R' D R D R D' D D' R R L L D R L D' R' R U R' L U' D F R D' R' D F R D' R' U F R U' R' F R R' U' B D D' U U D B D' U' U B R R' U' U B R R' U',28
1,0.75,150, D D' D U D' U U U R R' D R R' D R R' D R R' D R R R R L L D R L D' R' L F R R' F R R' F R R' F R R' U' B U D B D' B R R' B R R',50
1,0.75,250, U U U U D D R R' D R R' D R R R R L L R L R' L F F F R R' F B B B R R' B R R',75
1,0.75,350, U U U U D D D R R' D R R R R L L R L R' L F F F R R' F B B B B,85
1,0.75,450, U U U U D D D D R R R R L L L L F F F R R' F B B B B,94
1,0.75,550, U U U D U D D D R R R R L L L L F F F F B B B B,97
1,1.0,50, U D D' U D D' U D D' U B' B U R R' D' D' D' D R R' D' R R' D R R' D R R' D R D R D' D D' R R L L D R L D' R' R R' L D F R D' D F D' R' F R R' F R R' U' B U D B D' B R R' B R R',33
1,1.0,150, D D' D U D' U U U R R' D R R' D R R' D R R' D R R R R L L D R L D' R' L F F R R' F R R' F R R' B D B D' B R R' B R R',52
1,1.0,250, U U U U D D R R' D R R' D R R R R L L R L R' L F F F R R' F B B B R R' B R R',75
1,1.0,350, U U U U D D D R R' D R R R R L L R L R' L F F F R R' F B B B B,85
1,1.0,450, U U U U D D D D R R R R L L L L F F F R R' F B B B B,94
1,1.0,550, U U U D U D D D R R R R L L L L F F F F B B B B,97
1,1.25,50, U D D' D U D' U D D' U U R R' D' D R R' D' R R' D R R' D R R' D R D R D' D D' R R L L D R L D' R' R R' L D F R D' D F D' R' F R R' F R R' U' B U D B D' B R R' B R R',35
1,1.25,150, D D' D U D' U U U R R' D R R' D R R' D R R' D R R R R L L D R L D' R' L F F R R' F R R' F R R' B D B D' B R R' B R R',52
1,1.25,250, U U U U D D R R' D R R' D R R R R L L R L R' L F F F R R' F B B B R R' B R R',75
1,1.25,350, U U U U D D D R R' D R R R R L L R L R' L F F F R R' F B B B B,85
1,1.25,450, U U U U D D D D R R R R L L L L F F F R R' F B B B B,94
1,1.25,550, U U U D U D D D R R R R L L L L F F F F B B B B,97
1,1.5,50, U D D' D U D' U D D' U U R R' D' D R R' D' R R' D R R' D R R' D R D R D' D D' R R L L D R L D' R' R R' L F R D F D' R' F R R' F R R' U' B D B D' B R R' U B R R',38
1,1.5,150, D D' D U D' U U U R R' D R R' D R R' D R R' D R R R R L L D R L D' R' L F F R R' F R R' F R R' B D B D' B R R' B R R',52
1,1.5,250, U U U U D D R R' D R R' D R R R R L L R L R' L F F F R R' F B B B R R' B R R',75
1,1.5,350, U U U U D D D R R' D R R R R L L R L R' L F F F R R' F B B B B,85
1,1.5,450, U U U U D D D D R R R R L L L L F F F R R' F B B B B,94
1,1.5,550, U U U D U D D D R R R R L L L L F F F F B B B B,97
1,1.75,50, U D D' D D' U D U D' U U D D R R' D' R R' D R R' D R R' D R D R D' R R L L D R L D' R' R R' L F R D F D' R' F R R' F R B U' R' B B R R' B R R',46
1,1.75,150, D D' D D' U U U U D R R' D R R' D R R' D R R R R L L D R L D' R' L F F R R' F R R' F R B R' B B R R' B R R',57
1,1.75,250, U U U U D D R R' D R R' D R R R R L L R L R' L F F F R R' F B B B R R' B R R',75
1,1.75,350, U U U U D D D R R' D R R R R L L R L R' L F F F R R' F B B B B,85
1,1.75,450, U U U U D D D D R R R R L L L L F F F R R' F B B B B,94
1,1.75,550, U U U D U D D D R R R R L L L L F F F F B B B B,97
1,2.0,50, U D D' D D' U D U D' U U D D R R' D' R R' D R R' D R R' D R R R R L L D R L D' R' R R' L F F R R' F R R' F R B R' B B R R' B R R',50
1,2.0,150, D D' D D' U U U U D R R' D R R' D R R' D R R R R L L D R L D' R' L F F R R' F R R' F R B R' B B R R' B R R',57
1,2.0,250, U U U U D D R R' D R R' D R R R R L L R L R' L F F F R R' F B B B R R' B R R',75
1,2.0,350, U U U D D D R R' D R R R R L L R L R' L F F F R R' F B B B B,85
1,2.0,450, U U U D D D D R R R R L L L L F F F R R' F B B B B,94
1,2.0,550, U U D U D D D R R R R L L L L F F F F B B B B,95
1,2.25,50, D D' D D' U D U D' U U D D R R' D' R R' D R R' D R R' D R R R R L L R L R' R R' L F F R R' F R R' F B B B R R' B R R',56
